date,clicks,impressions,ctr_percent,position
2026-08-08,0,0,0.00,0.0
2026-08-09,0,4,0.00,13.5
2026-08-10,0,9,0.00,16.2
2026-08-11,1,101,0.99,25.1
2026-08-12,3,76,3.95,21.2
2026-08-13,2,87,2.30,21.4
2026-08-14,3,79,3.80,20.4
