date,clicks,impressions,ctr_percent,position
2026-08-29,1,78,1.28,14.8
2026-08-30,6,78,7.69,21.6
2026-08-31,2,95,2.11,29.7
2026-09-01,4,112,3.57,24.6
2026-09-02,0,331,0.00,32.7
2026-09-03,1,313,0.32,35.4
2026-09-04,2,88,2.27,27.3
