date,clicks,impressions,ctr_percent,position
2026-09-05,1,52,1.92,24.9
2026-09-06,4,40,10.00,14.1
2026-09-07,1,233,0.43,39.9
2026-09-08,1,70,1.43,24.6
2026-09-09,4,38,10.53,9.3
2026-09-10,0,27,0.00,12.8
2026-09-11,3,56,5.36,24.7
