date,clicks,impressions,ctr_percent,position
2026-08-12,3,76,3.95,21.2
2026-08-13,2,87,2.30,21.4
2026-08-14,3,81,3.70,19.9
2026-08-15,1,69,1.45,15.0
2026-08-16,2,54,3.70,11.9
2026-08-17,2,60,3.33,23.9
2026-08-18,3,80,3.75,20.2
