date,clicks,impressions,ctr_percent,position
2026-08-15,1,69,1.45,15.0
2026-08-16,2,54,3.70,11.9
2026-08-17,2,61,3.28,23.5
2026-08-18,3,80,3.75,20.2
2026-08-19,1,99,1.01,32.8
2026-08-20,1,80,1.25,24.4
2026-08-21,1,84,1.19,20.3
