page,clicks,impressions,ctr_percent,position
https://pandasushi.od.ua/,11,510,2.16,21.3
https://pandasushi.od.ua/delivery.html,1,4,25.00,3.5
https://pandasushi.od.ua/about.html,0,1,0.00,90.0
https://pandasushi.od.ua/contacts.html,0,1,0.00,83.0
https://pandasushi.od.ua/deserty.html,0,1,0.00,9.0
https://pandasushi.od.ua/menu.html,0,14,0.00,35.5
https://pandasushi.od.ua/nigiri.html,0,6,0.00,48.5
https://pandasushi.od.ua/poke.html,0,1,0.00,65.0
https://pandasushi.od.ua/sety.html,0,22,0.00,51.7
https://pandasushi.od.ua/supy.html,0,1,0.00,72.0
