page,clicks,impressions,ctr_percent,position
https://pandasushi.od.ua/,14,497,2.82,19.9
https://pandasushi.od.ua/about.html,0,7,0.00,55.6
https://pandasushi.od.ua/blog.html,0,2,0.00,61.5
https://pandasushi.od.ua/contacts.html,0,10,0.00,34.7
https://pandasushi.od.ua/delivery.html,0,8,0.00,25.9
https://pandasushi.od.ua/deserty.html,0,1,0.00,7.0
https://pandasushi.od.ua/menu.html,0,14,0.00,47.2
https://pandasushi.od.ua/nigiri.html,0,1,0.00,32.0
https://pandasushi.od.ua/poke.html,0,6,0.00,28.0
https://pandasushi.od.ua/promotions.html,0,2,0.00,34.0
https://pandasushi.od.ua/rolls.html,0,3,0.00,21.3
https://pandasushi.od.ua/sety.html,0,20,0.00,35.9
https://pandasushi.od.ua/sousy.html,0,3,0.00,53.3
https://pandasushi.od.ua/supy.html,0,1,0.00,99.0
https://pandasushi.od.ua/zakusky.html,0,1,0.00,60.0
