date,clicks,impressions,ctr_percent,position
2026-08-22,4,91,4.40,20.3
2026-08-23,2,45,4.44,10.4
2026-08-24,1,73,1.37,21.5
2026-08-25,2,91,2.20,19.7
2026-08-26,1,80,1.25,24.0
2026-08-27,2,72,2.78,22.4
2026-08-28,2,78,2.56,25.8
